description,courseNumber,departmentCode,courseTitle,avg_gpa,A_rate,B_rate,C_rate,D_rate,F_rate,W_rate,total_enrollment
"Advanced study of the theory and practice of feature writing. Produce, edit and critique a range of feature writing styles for a range of platforms.",349,COMM,"Advanced Feature Storytelling",2.74,19.00,41.00,35.00,0.00,4.00,4.00,32
"An intensive advanced-level audio production course. Advances the students' broad audio knowledge and production abilities in creative sound recording/mixing/ processing/editing and sound design. Emphasizes audio for media, applied media aesthetics, sound design, and creative and artistic approaches to various types of sophisticated audio production including music recording, radio production and audio for other media (video, film, new media).",354,COMM,"Advanced Audio Production",3.57,69.00,22.00,8.00,0.00,2.00,2.00,66
"Provides a solid foundation of theoretical and practical skills needed to tell nonfiction stories for the visual mass media. Produce a wide variety of news packages and documentary shorts.",373,COMM,"Producing News Packages and Documentary Shorts",3.18,22.00,50.00,8.00,0.00,0.00,22.00,14
"Characterization of family styles of communication as they reflect values, attitudes and perceptions of family members as a group. Examination of effects of individual communication strategies on development of family patterns of interaction. Selected readings, field research, two exams.",405,COMM,"Family Communication",3.39,55.00,29.00,12.00,0.00,2.00,4.00,53
"Studies the role of media and rhetoric in political campaigns and the political process.",430,COMM,"Political Communication",3.30,46.00,36.00,17.00,0.00,0.00,4.00,31
"Investigates documentary styles and techniques while emphasizing the documentary production process. Over the course of a semester, develop a documentary project by turning in the various components (proposal, treatment, rushes, etc.), culminating in a completed 24-30 minute documentary.",433,COMM,"Documentary Production",3.87,90.00,7.00,4.00,0.00,0.00,0.00,30
"Introduction to processes and skills required to plan, design and direct drama for the television/film medium. Study the formalistic elements of the medium and complete the required projects designed to provide practical experience in planning and then directing material that persuades, informs and entertains audiences. Fundamentals of the language of television/ film are stressed: aesthetics and their application. Emphasis on the communication between directors and actors, effective use of the audiovisual language, camera blocking and visual storytelling.",435,COMM,"Directing for the Camera",3.31,61.00,15.00,13.00,3.00,5.00,5.00,41
"Consideration of the legal and regulatory context of mass communication. Topics include constitutional, first amendment and statutory issues and the study of regulatory agencies and processes.",438,COMM,"Mass Communication Law",3.23,52.00,33.00,9.00,2.00,6.00,2.00,84
"The study and practice of strategic communication principles guiding social media strategy planning, integration, monitoring and measurement over a range of platforms and its systematic application.",445,COMM,"Digital Public Relations",3.27,54.00,26.00,13.00,0.00,5.00,4.00,62
"Advanced-level production course designed for experience in writing, designing and producing programs in a television studio environment. Emphasis on program proposals, writing, producing, directing and use of digital technology in production.",456,COMM,"Advanced Television Studio Production",3.91,92.00,6.00,2.00,0.00,0.00,2.00,58
"Intensive study in speech or communication studies. Students should choose a seminar in their track. Substantial research paper/academic project and class presentation are required. May be taken twice under different subtitles, but only four credits may be applied to the communication major.",490,COMM,"Communication Seminar",3.33,55.00,31.00,10.00,1.00,5.00,1.00,268
"Provides practical experience in the application of theoretical concepts including broadcasting, theatre, journalism, organizational communication, public relations, training, etc. Only four hours may be counted toward the major. Students opting for COMM 495 as a core requirement must take a minimum of four credits.",495,COMM,"Internship in Communication",3.69,77.00,17.00,8.00,0.00,0.00,0.00,42
"Provides a foundation in the area of data science based on data curation and statistical analysis. Learn data analysis concepts and techniques that facilitate making decisions from a rich data set. Investigate data concepts, metadata creation and interpretation, machine learning, and basics of information visualization. Learn fundamentals about data standards and methods for organizing, curating, preserving data for reuse, drawing conclusions and making decisions from data. Understand how to use data analysis tools for data manipulation, analysis and visualization. Includes discussions on diverse issues around data, including technologies, behaviors, organizations, policies and society.",311,COSC,"Introduction to Data Visualization and Interpretation",3.49,67.00,17.00,12.00,0.00,3.00,3.00,78
"In-depth study of French or Francophone topic that is literary, cultural or linguistic in nature.",300,FREN,"Francophone Topics",2.78,30.00,30.00,20.00,0.00,10.00,10.00,10
"Theory and application of computer programming to climatological and meteorological research with particular emphasis on high-dimensional gridded atmospheric and oceanic data. Develop basic programming skills in MATLAB, NCL and NCO/CDO, as well as be introduced to the basics of Linux OS. Apply these computational skills to analyze and visualize atmospheric reanalysis, global climate model and gridded observation datasets.",317,GEOG,"Atmospheric Data Analysis and Programming",3.08,58.00,8.00,8.00,0.00,15.00,15.00,14
"Survey of the history of American building traditions, considering construction, form and style in historical, social, economic and cultural contexts.",301,HIST,"History of American Buildings",2.44,14.00,42.00,21.00,7.00,11.00,7.00,29
"Examines drug policies and laws, as well as contemporary advocacy efforts impacting drug use, misuse and prevention from a public health perspective. Motivational factors that influence the use of licit and illicit drugs are explored and the psychological, socio-cultural and pharmacological/ biochemical risk factors for abuse or dependence are identified. Systems providing effective drug education and prevention are also evaluated.",312,HLTH,"Drugs and Public Health",3.88,93.00,6.00,1.00,0.00,1.00,0.00,104
"Learn core concepts for developing a health communication intervention, as well key strategies for educating the public about health issues, including understanding and reporting science, communicating for policy and advocacy, and health literacy and numeracy. Using a community-based health communication approach, study a broad base of information from communication and health behavior theory, community-based planning, and social marketing constructs to provide the tools to develop effective and culturally appropriate health communication.",361,HLTH,"Health Communication",3.61,70.00,25.00,5.00,0.00,2.00,0.00,82
"A detailed investigation of the genre of detective fiction, examining the evolution of the genre from its unstructured beginnings to its formal establishment in the 19th century up through its modern iterations. Cultural and social implications of the genre's popularity are examined, as are other social issues raised in the texts. Focus is on the literature of the Germanic nations. The course is taught in English.",365,MDFL,"Detective Fiction",3.14,42.00,25.00,13.00,5.00,3.00,15.00,41
"Provides introduction to the field of environmental education, including curriculum development, teaching methods, principles of environmental literacy and history of the discipline.",345,ODEL,"Environmental Education",3.37,64.00,20.00,10.00,4.00,4.00,0.00,30
"Discipline and profession of health education course that examines concepts of health and wellness, determinants of health behavior, national health standards, the history of health education, and health promotion. Recognize health education as an important foundation for student health in school settings.",430,PHED,"Methods in Teaching Health Education",3.75,80.00,17.00,5.00,0.00,0.00,0.00,110
"An introduction to the foundational ideas and issues of cognitive science, a multidisciplinary approach to understanding how the mind works. Topics include consciousness, artificial intelligence, evolutionary psychology, psycholinguistics and cognitive neuroscience.",240,PSYC,"Minds, Brains and Machines",3.64,78.00,14.00,7.00,0.00,3.00,0.00,80
"Provides insights and perspectives on the cultural aspects and history of the deaf and hard of hearing communities in the United States.",351,SOWK,"Deaf Culture and Deaf History",3.52,67.00,28.00,0.00,0.00,5.00,2.00,124
"For senior Spanish majors. Research encompassing several areas of Spanish life and culture, language and literature is brought to bear upon a single theme or issue.",480,SPAN,"Senior Seminar",4.00,100.00,0.00,0.00,0.00,0.00,0.00,12
"Examines the fundamentals of voice production and articulation. Study establishes good habits of speech through analysis of voice, articulation and pronunciation, with directed exercises for improvement.",130,THEA,"Elements of Voice and Diction",3.29,43.00,43.00,15.00,0.00,0.00,0.00,14
"Intermediate study of the principles and practices of news reporting. Exposure to covering news beats, establishing news sources, and producing accurate and comprehensive multimedia journalism news products. Introduction to the basics of producing and editing digital photos, video and audio, along with the ethical considerations when collecting sound and visuals.",241,COMM,"Multimedia Journalism",3.61,73.00,21.00,2.00,0.00,4.00,2.00,58
"Explores the relationships among communication, gender and culture. Illuminates the pivotal role of communication in sustaining and altering existing gender and cultural patterns.",304,COMM,"Communication, Gender and Culture",3.18,45.00,35.00,14.00,0.00,5.00,3.00,89
"Participation in and analysis of small group discussion. Emphasizes communication within the small group setting and effective group decision making.",310,COMM,"Small Group Discussion",3.66,70.00,25.00,5.00,0.00,0.00,2.00,72
"Study of human communicative behavior without the use of words. Ways of sending and receiving nonverbal messages are examined with the goal of awareness and understanding of their communicative value.",312,COMM,"Nonverbal Communication",3.11,39.00,39.00,15.00,2.00,4.00,4.00,57
"Theory and practice of event management and planning. Application, knowledge and understanding of planning and implementation of a variety of professional and non-professional events. Components include budgeting, contracts, liability, technology, aesthetics, marketing and promotion.",318,COMM,"Event Planning and Communication",3.35,46.00,48.00,5.00,0.00,3.00,0.00,48
"Development of critical viewing skills through analysis of program conventions, genres and media aesthetics, and through intensive writing.",332,COMM,"Media Criticism and Analysis",3.46,64.00,26.00,5.00,0.00,5.00,2.00,66
"Acquaints the student with the numerous and varied elements contained on the Internet. The course will enhance communication skills, specifically for the networked environments, and will discuss how to reach specific audiences on the net. Instruction includes media writing, page design, site development and learning about hypertext markup language. Integral to the course is evaluating and analyzing Web-based content.",335,COMM,"Communicating on the Web",2.51,20.00,24.00,37.00,0.00,9.00,11.00,46
"Introduction and examination of the media systems of countries around the globe with emphasis on the effects geo-political and cultural forces have on the development of specific mass communication channels throughout the world.",337,COMM,"International Media Systems",3.21,48.00,39.00,8.00,0.00,7.00,0.00,63
"Theory and practice of the production of print, broadcast and online journalism using mobile communication devices.",347,COMM,"Mobile Journalism",2.36,23.00,30.00,17.00,4.00,20.00,10.00,31
"Study in interpersonal, organizational or public communication process and messages.",390,COMM,"Studies in Community and Professional Communication",3.50,70.00,10.00,20.00,0.00,0.00,0.00,10
"Study of various mass media concepts as they impact contemporary society.",391,COMM,"Studies in Mass Media",3.45,69.00,19.00,10.00,0.00,5.00,0.00,22
"Study of different concepts and practices as they apply to media production.",392,COMM,"Studies in Media Production",3.71,79.00,15.00,8.00,0.00,0.00,0.00,14
"Study of various concepts, theories and/or practices in public relations and/or strategic communication.",394,COMM,"Studies in Public Relations/Strategic Communication",3.13,41.00,32.00,22.00,4.00,0.00,4.00,32
"Critical study of the transformation of the mass media and cultural landscape in relation to digital media and information technologies. Examines the consequences of the convergence of media platforms and technologies for individuals, society, politics, culture and the media industries.",439,COMM,"Critical Issues in New Media",3.61,78.00,12.00,10.00,0.00,3.00,0.00,44
"Focuses on the reporting and dissemination of environmental policy, information and education, environmental reporting and environmental public relations. Also discusses risk and crisis communication management.",444,COMM,"Environmental Communication",3.33,48.00,37.00,16.00,0.00,0.00,0.00,46
"Explores the art of filmmaking using digital technology. Requires producing a short film from script to screen. Students write, produce, direct, cast, shoot and edit a short film in a genre of their choice. Film theory and techniques are explored and applied in the production. HD equipment is used for acquisition and finishing.",446,COMM,"Digital Filmmaking",3.61,72.00,13.00,13.00,0.00,0.00,3.00,39
"Study of strategic communication principles and theoretical frameworks guiding research, design, implementation and evaluation of international public relations efforts by corporations, institutions and nongovernmental organizations.",447,COMM,"International Public Relations",2.88,48.00,8.00,29.00,5.00,8.00,5.00,42
"Examines the process of communication from the perspective of the whole organization and studies various structures in business, education, the arts, etc. in order to analyze and improve communication.",460,COMM,"Applied Organizational Communication",3.39,46.00,49.00,7.00,0.00,0.00,0.00,31
"Examines innovations in communication techniques and applications. Topics include satellite and terrestrial based technology, conferencing, decision support systems, computer mediated communication and the impact of technology on the communication process and communicators.",465,COMM,"Communication Technology",3.25,47.00,35.00,13.00,5.00,0.00,3.00,41
"Equips students with knowledge and pedagogical techniques for the successful teaching of difficult English structures/ anomalies using frameworks embedded in the history of the English language. Pedagogical themes underpinning the course include game-based learning, technology-infused approaches to the instruction of complex structures, and the use of authentic materials to ensure ELL/EFL accuracy and uptake of salient English structures.",442,ENGL,"English Structure for Educators",3.53,72.00,19.00,6.00,3.00,3.00,0.00,38
"Explores topics related to the treatment and prevention of obesity. Topics include dietary and exercise considerations, behavioral strategies and modification techniques, and pharmacotherapy and surgical approaches for the prevention and treatment of obesity. Explore the theories of obesity, the clinical evaluation of an obese client, and the prevention and treatment approaches shown to be effective in obesity intervention programs.",325,EXSC,"Obesity Prevention and Treatment",2.45,19.00,39.00,23.00,6.00,14.00,3.00,115
"Capstone experience that focuses on preparing students to be entry-level professionals in public health education. Reinforces student demonstration of the Areas of Responsibility of a Health Education Specialist, facilitating students to be successful in taking the Certified Health Education Specialist examination.",479,HLTH,"Senior Seminar in Public Health Education",3.67,73.00,21.00,7.00,0.00,0.00,0.00,48
"Examine the theory and practice of both leadership management in domestic and international nonprofit organizations. Topics include methods and philosophies of leadership; the mission, vision and values of nonprofit organizations; organizational culture; and working with an executive director, board of directors and volunteers.",350,IDIS,"Nonprofit Leadership",3.77,79.00,8.00,4.00,2.00,0.00,8.00,51
"Identification, analysis and evaluation of contemporary problems that have resulted from new breakthroughs in biomedicine. Topics include physician-patient relationship, euthanasia, social control, experimentation, genetic engineering, the health care system. Emphasis on developing an ethical framework to deal with these and future biomedical issues.",325,NURS,"Life and Death Issues in Health Care: The Ethical Perspective",3.44,66.00,20.00,6.00,0.00,6.00,3.00,35
"Provides an introduction to the history of some of the philosophical ideas that are fundamental to our understanding of humanity. Study select concepts, for example justice, liberty or the self, and trace how these concepts have developed over the course of time. Sources from Western and non-Western philosophical traditions may be used.",201,PHIL,"History of Ideas",2.82,34.00,25.00,25.00,0.00,9.00,9.00,12
"An introduction to the foundational ideas and issues of cognitive science, a multidisciplinary approach to understanding how the mind works. Topics include consciousness, artificial intelligence, evolutionary psychology, psycholinguistics and cognitive neuroscience.",240,PHIL,"Mind, Brains and Machines",2.71,20.00,50.00,7.00,7.00,9.00,9.00,46
"Analysis of the structural characteristics and functions of the United States Congress. Factors influencing congressional decision making and the importance of Congress in American political process discussed.",430,POSC,"The Congress in American Politics",3.24,39.00,39.00,17.00,0.00,0.00,7.00,31
"First course of a two course sequence for analysis of middle and high school programs in mathematics; emphasis on methods of teaching mathematical concepts and understandings. Includes development of strategies and skills for teaching mathematics with technology. Required classroom visitations and field experiences as necessary to complete assignments.",373,SCED,"Teaching Mathematics in Grades 7-12, Part I",3.83,84.00,17.00,0.00,0.00,0.00,0.00,12
"Provides insights and perspectives on the psychological, educational, social, rehabilitation, legal and employment aspects of people who are deaf and hard of hearing in the United States.",454,SOWK,"Multidisciplinary Practice with People Who Are Deaf and Hard of Hearing",4.00,100.00,0.00,0.00,0.00,0.00,0.00,77
"Designed to introduce the theory and application of therapeutic modalities and physical agents commonly utilized in sports medicine. Focus of the material presented includes the selection, indications, contraindications and appropriate parameter selection.",401,ATTR,"Therapeutic Modalities",3.63,64.00,37.00,0.00,0.00,0.00,0.00,30
"Introduction to biological molecules, cellular anatomy and cellular function. Build fundamental understanding of molecular core concepts and skills that serve as a foundation for all more advanced coursework in biology. Emphasizes the chemistry of biology, properties of biological molecules, cellular composition, cellular function and diversity, metabolism, and genetics. One of two introductory courses (along with BIOL 202) required for biology majors.",201,BIOL,"Introduction to Biology: Molecular and Cellular Biology",2.76,36.00,20.00,13.00,3.00,13.00,19.00,249
"Introduction to the study of evolution and ecology, providing practice with the core concepts and skills that biologists use to study life. Emphasizes the evolutionary origin of biodiversity, the ecological function of biodiversity, and human impacts on biodiversity and ecosystem function. One of two introductory courses (along with BIOL 201) required for biology majors.",202,BIOL,"Introduction to Biology: Evolution and Ecology",2.82,39.00,24.00,15.00,7.00,10.00,9.00,330
"Study of the causes, bodily changes, signs and symptoms, and mechanisms involved in common and serious human diseases.",354,BIOL,Pathophysiology,2.15,6.00,20.00,29.00,17.00,2.00,28.00,118
"Examines media coverage of public agencies and social issues while emphasizing civic journalism.",346,COMM,"Public Affairs Reporting",2.62,24.00,39.00,24.00,5.00,10.00,0.00,21
"Study of the role of the manager as a communicator at various organizational levels. Students study various communication strategies available to managers. Topics include information processing; presenting, receiving and gathering information; goal setting; decision making and change.",365,COMM,"Managerial Communication",3.49,62.00,28.00,6.00,0.00,3.00,3.00,36
"Introduction to the history, theory and practice of animation in a variety of fields (news, documentary, advertising and dramatic narrative).",374,COMM,Animation,3.81,89.00,4.00,8.00,0.00,0.00,0.00,26
"Examines public relations cases while developing strategies and scenarios for response.",448,COMM,"Public Relations Cases and Strategies",2.92,20.00,52.00,20.00,4.00,0.00,4.00,25
"Introductory course focused on robotics topics that relate to modeling, dynamics and controlling of robotics. Gradually complete the design and construction of a robot using 3D-printing technologies.",451,COSC,Robotics,3.24,43.00,43.00,8.00,0.00,4.00,4.00,52
"Introduction to the art and meaning of film. Learn to apply concepts of narrative organization and stylistic techniques to films from various cultural, historical, aesthetic and theoretical perspectives.",220,FILM,"Introduction to Film",3.59,68.00,22.00,10.00,0.00,0.00,2.00,65
"Study of a director, period, genre, movement or theme in the area of film.",401,FILM,"Studies in Film",3.46,60.00,25.00,13.00,2.00,0.00,4.00,83
"The history of motion pictures with a focus on technical, cultural, and political developments through the lens of key directors and film movements.",402,FILM,"Film History",3.47,60.00,27.00,14.00,0.00,0.00,0.00,15
"Introduces the analytical tools necessary for French and Francophone studies through the study of various aspects of popular culture, such as music, advertisements, television series, news outlets, fashion or vernacular. Exposes the diversity of the French-speaking world and specific methodologies of literacy and cultural studies. Reinforces all language skills, such as grammatical knowledge and the acquisition of new vocabulary through reading and writing of summaries of articles and structured compositions, and through oral participation and presentations. Taught in French.",309,FREN,"Introduction to Francophone Studies Through Popular Culture",3.57,58.00,43.00,0.00,0.00,0.00,0.00,14
"Look at the interdependence of business relations among nations and citizens of the world, focusing on the globalization phenomenon and its impact on business. Discuss economic, political, legal, social and cultural factors and developmental issues of technology, environment and infrastructure and their relevance in global business.",201,INTB,"Introduction to International Business",2.91,20.00,56.00,20.00,0.00,3.00,3.00,36
"Explores methodologies for preventing and responding to risks associated with adventure programming. Learn proactive approaches to avoiding human, equipment and environmental hazards. Develop risk assessment, planning and prevention, and crisis response skills. Establish safety as foundational for quality programming.",455,ODEL,"Risk Management and Crisis Prevention",3.43,60.00,23.00,10.00,5.00,0.00,5.00,22
"Intensive study of a major thinker, period or theme in the history of philosophy.",313,PHIL,"Studies in The History of Philosophy",3.89,89.00,12.00,0.00,0.00,0.00,0.00,18
"Explores the creative acting process by investigating the emotional, intellectual and kinesthetic resources central to performing. Examines the application of vocal and physical choices to develop characters. Analysis of texts, theory and the conventions of psychological realism are highlighted through focused improvisation, movement exercises and monologue/scene study.",150,THEA,"Acting I",3.63,71.00,20.00,6.00,0.00,2.00,3.00,72
"Explore concepts of user experience design for screens by conducting field research that explains human behavior and applying that information to design processes. Introduction to the basic tenets of user-centered design, including usability testing, information architecture, user research, and prototyping. Learn how to create a UX portfolio and follow current professional practices.",381,ART,"User Experience Design",3.90,82.00,10.00,0.00,0.00,0.00,10.00,11
"Exploration of viral, prokaryotic and eukaryotic genomes. Emphasis on computational techniques for assessing the genome and manipulating genomic data.",441,BIOL,"Bioinformatics II",3.40,60.00,30.00,0.00,10.00,0.00,0.00,10
"Study of a specific area of biological science. Topic varies semester to semester.",491,BIOL,"Advanced Special Topics in Biology with Lab",2.80,20.00,50.00,20.00,10.00,0.00,0.00,10
"Study of the communicative factors involved in the teaching learning process in classroom and corporate contexts. Emphasis is on the selecting, limiting, organizing and presenting of content that needs to be conveyed from instructor to learner(s). Special focus is given to developing a supportive environment, effective questioning and positive interpersonal relationships.",250,COMM,"Instructional Communication",3.10,50.00,30.00,10.00,0.00,10.00,0.00,10
"Provides an opportunity to focus reportorial and production skills on a specialized topic. Specialized topics could include, but are not limited to, sports, community, business or international issues. Student work produced will be offered to media organizations around Maryland for use in professional broadcast news programs or news websites.",466,COMM,"Specialized Reporting for TV and the Web",3.22,34.00,25.00,17.00,0.00,0.00,25.00,12
"Study of a wide range of films made around the world, with special emphasis on historical development of selected national cinemas, cultural and economic determinants that affect the production of film and the contrasting conventions of film style in contrasting contexts of production.",404,FILM,"International Cinema",3.29,44.00,25.00,19.00,0.00,0.00,13.00,16
"Advanced introduction to film soundtracks, including analysis of music, sound effects and dialogue through various perspectives. Develop audiovisual literacy and expand understanding of cinema through analyzing its sonic impact.",405,FILM,"Hearing Cinema",3.53,67.00,20.00,14.00,0.00,0.00,0.00,15
"Introduces the analytical tools necessary for French and Francophone studies through the media of comic strips, graphic and illustrated novels, as well as some cinematographic adaptations. Exposes the diversity of the French-speaking world and specific methodologies of literacy and cultural studies. Reinforces all language skills, such as grammatical knowledge and the acquisition of new vocabulary through reading and writing of summaries of articles and structured compositions, and through oral participation and presentations. Taught in French.",307,FREN,"Introduction to Francophone Studies Through Comic Books",3.75,84.00,9.00,9.00,0.00,0.00,0.00,12
"Survey of culture and institutions of Europe and the Mediterranean world from the rise of Christianity to the 11th century. Emphasizes the formation of the Christian Church, the demise of the Western Roman Empire, the transformation from Roman provinces to barbarian kingdoms, the making of Carolingian Europe and the legacy of the Viking Age.",320,HIST,"From Romans to Vikings",2.41,16.00,27.00,27.00,8.00,8.00,16.00,26
"Explores complex social science issues. Develops students' critical and integrative thinking skills as they rely on research, social patterns, and effective communication to consider social issues and solutions. Topics may vary.",279,IDIS,"Introduction to Essential Social Issues",2.85,36.00,29.00,15.00,8.00,8.00,8.00,14
"Group piano instruction with individual help. To develop fundamental piano skills for students with little or no piano experience. Basic skills included are reading, harmonization, transposition, improvisation and compositional techniques.",206,MUSA,"Class Piano II",1.80,20.00,20.00,20.00,0.00,40.00,0.00,10
"Continues training for AmeriCorps members who will be serving with vulnerable populations in a number of different settings on the Eastern Shore of Maryland as part of the ShoreCorps/AmeriCorps program at Salisbury University. Focuses on selected topics related specifically to service learning, human development and conflict resolution, which assists participants to work with vulnerable populations in the context of their families and communities. Emphasis is given to the concept and practice of service learning and to individual member development. The courses also serves as a vehicle for building esprit de corps among ShoreCorps members.",155,PACE,"AmeriCorps Training Course - Part II",0.00,0.00,0.00,0.00,0.00,34.00,67.00,3
"Learn the general principles and strategies for coaching athletes and teams across sports, seasons and coaching contexts. Clinical placement hours required. Uses Canvas as an additional module for learning asynchronously and synchronously.",440,PHEC,"Athletic Coaching for Every Season",3.70,62.00,8.00,8.00,0.00,0.00,24.00,13
"The first of two recommended experiential learning courses to prepare Upper-Division Certificate in Fraud and Forensic Accounting Program graduates for their professional careers conducting fraud examinations. Directly perform investigations and assist with prosecutions of financial crime on behalf of the State of Maryland and the Commonwealth of Virginia on the Eastern Shore of the Chesapeake Bay. Work with prosecutors, police, deputy sheriffs and state troopers to investigate, prepare and charge suspects for misconduct involving financial crime of all varieties within the jurisdiction of state law enforcement. Plan and conduct interviews of victims, witnesses and suspects. In appropriate cases, gain actual experience testifying as to findings as fact or expert witnesses.",498,ACCT,"Fraud Examination Experiential Learning I",3.85,85.00,15.00,0.00,0.00,0.00,0.00,20
"A blended lecture and laboratory-based exploration of trace evidence as it relates to forensic science. Discuss the identification, collection and preservation of trace evidence from crime scenes. Explore a variety of methods for analysis and comparison of trace evidence, with particular emphasis on microscopy. Focus on the science used in solving crimes; please note, potentially sensitive matters such as violent crimes and death investigations are discussed. Does not satisfy requirements within the biology major.",107,BIOL,"Trace Evidence and Microscopy",2.89,20.00,45.00,20.00,5.00,0.00,10.00,20
"Non-laboratory course focusing on key developments in chemistry. While learning basic chemical principles, students analyze the historical context of these developments, what motivated the scientists to pursue their discoveries and the influence of each scientist's personal history. In addition, the cultural, scientific and environmental effect of these developments are examined.",111,CHEM,"Big Ideas in Chemistry",2.95,43.00,27.00,22.00,6.00,6.00,0.00,19
"Reviews theories and aspects of cultural competence most relevant to teaching in diverse classrooms. Explores the ideas of freedom, democracy, justice, equality, equity and human dignity from the perspective of the self, family and community. Provides experiences that heighten candidates' diversity awareness and sensitivity. Examines beliefs, attitudes, values and practices that foster cultural and linguistic competence.",301,ELED,"Diversity in Education",3.80,87.00,11.00,2.00,1.00,1.00,0.00,115
"Learn to design and lead group exercise sessions and oneon- one personal fitness training exercise sessions offered in community and wellness settings. Demonstrate or lead exercise screening and clearance, assessment, evaluation, prescription and instruction for individualized and group exercise programming. Learn physiological and biomechanical principles related to group and individual exercise sessions as well as safety, motivation and adherence, and modifications for diverse populations. Progressive exercise programming for both individual and group exercise settings is applied through laboratory experiences. Assists in meeting the requirements to be eligible for and pass a group fitness instruction, personal fitness training, or strength and conditioning certification.",305,EXSC,"Fitness Instruction",3.60,66.00,27.00,2.00,2.00,2.00,4.00,76
"Focuses on the practice and theory of writing, advanced strategies of writing, and the forms and aims of discourse with regard to cinema as audiovisual text. Emphasis on effective assignments, evaluation of prose, and the nature and analysis of style.",322,FILM,"Writing About Cinema",3.36,60.00,20.00,7.00,0.00,7.00,7.00,15
"An introduction to the concept of film genre and to the study of specific film genres including comedies, musicals, westerns, gangster films, horror films and science fiction films.",324,FILM,"Film Genre",3.45,64.00,19.00,19.00,0.00,0.00,0.00,22
"Introduction to applying advanced approaches to cinema, such as contemporary cultural and racial politics, psychoanalysis, feminism, queer theory, and post-colonial criticism. Includes a range of screenings and encourages students to read films in terms of various social and personally informed perspectives.",408,FILM,"Film Politics",3.40,67.00,7.00,27.00,0.00,0.00,0.00,15
"Those interested in health care careers explore the basic concepts related to the field. Through a broad approach, gain an awareness of career possibilities in health care and identify individual skills and interests. Gain introduction to the soft and basic clinical skills necessary to be successful in professional practice.",101,HLSC,"Introduction to Health Sciences",3.21,50.00,28.00,15.00,5.00,2.00,2.00,62
"Those interested in health care careers gain an overview of the science of nutrition and its impact on health and disease throughout the lifespan.",255,HLSC,"Nutrition for the Health Sciences",2.69,19.00,45.00,28.00,5.00,4.00,2.00,155
"Introduces students to the concept of global health in the larger context of globalization and its role in changing patterns of disease spread and control. Reviews concepts of global health with attention to the interchange between social, economic and cultural determinants of health. Examines the international/national structure and roles of government and non-government entities engaged in global health and the challenges of developing effective and affordable population health services. Explores the underlying importance of equity, human rights and social justice philosophies in the delivery of health care. Focuses on major global health concerns and explores both their origins and current and potential strategies for addressing them. Attention is given to the new United Nations Sustainable Development Goals as a framework for guiding the development of meaningful global health programs. Students are encouraged to become personal and professional advocates for global health.",415,IHHS,"Introduction to Global Health",3.81,79.00,18.00,0.00,0.00,0.00,4.00,28
"An introduction to statistical methods and models for data analysis with applications. Methods and models, such as regression models, time series models, principal components analysis, decision trees, cluster analysis, basic ANOVA and/or others, are studied. Computer software such as R, Excel, Python or others is used.",316,MATH,"Statistical Learning with Applications",3.50,55.00,28.00,10.00,0.00,0.00,10.00,22
"Study of contemporary French culture. The uniqueness of French mentality is studied through the language, the traditions and customs of the people. Taught in English.",241,MDFL,"The French People",3.62,62.00,39.00,0.00,0.00,0.00,0.00,13
"Introduction to ethical considerations for leaders, including responsible planning, decision-making and group management in organizations. Introduction to ethical leadership theories and the application of theory to practice. Case studies and assignments consider policies, legal implications, resource use and organizational performance outcomes.",255,ODEL,"Ethics in Leadership",3.83,84.00,17.00,0.00,0.00,0.00,0.00,12
"Introduces advanced backpacking and camping skills. Develop an understanding of equipment, trip planning and organization, navigation, risk management, and group leadership on backcountry trips. Explore human relationship to the environment. Leave-No-Trace Certification offered. Special fee. Experiential practicum.",325,ODEL,"Adventure Programming - Backcountry",4.00,100.00,0.00,0.00,0.00,0.00,0.00,10
"Interdisciplinary lecture series on current topics in democracy, including elections, voting and civic engagement. Faculty from across the campus present their disciplinary expertise on the topic. Coordinated by the Institute for Public Affairs and Civic Engagement (PACE). Course offered each fall under different topics.",205,PACE,"Democracy Across the Disciplines",0.00,0.00,0.00,0.00,0.00,0.00,100.00,1
"Preparation for teaching aquatic skills. Emphasis on skill development, learning theories, teaching methods and aquatic safety.",205,ODEL,"Water Safety Instructor",3.64,86.00,8.00,0.00,0.00,8.00,0.00,28
"Continues building upon the concepts and strategies for civic engagement introduced in the two previous semesters of the Presidential Citizen Scholars Program. Presidential Citizen Scholars apply the theory and practice of active and engaged citizenship to cultivate and complete their legacy project that will endure beyond their time as a student at Salisbury University. Over the course of the previous two semesters, individual scholars have developed a project to address a significant community issue. Make extensive use of the greater Salisbury community, including purposeful field trips and participation in community events. Culminates in a campus/community presentation of students' efforts.",411,PACE,"Civic Engagement Capstone: Final Steps for Presidential Citizen Scholars",4.00,100.00,0.00,0.00,0.00,0.00,0.00,10
"Examines a philosophical theme (e.g., existentialism, tragedy) as reflected in works of literature. Theme varies semester to semester.",368,PHIL,"Philosophical Concepts in Literature",3.64,65.00,36.00,0.00,0.00,0.00,0.00,14
"A reflection on the ways in which the human body shapes our self-understanding, relationships with others and knowledge of the world. Explores the significance of the variety of bodies and experiences of embodiment that individuals have. Topics may include the ways in which the body relates to knowledge, human nature, well-being, health, art and justice.",215,PHIL,"Philosophy of the Body",3.36,42.00,42.00,9.00,0.00,0.00,9.00,12
